d,B,Q,dT,E
1.935246582352076e-09,5.807790434177011,1.771645851534958,15.705397673013,-3.2211328611734986
4.758500101408589e-09,5.269716495638984,2.564044657296657,9.550876594953827,0.6528575253784579
3.686770314875885e-09,3.5103694960333476,,13.793919954937728,
3.0334265725654793e-09,4.932126578961102,2.510766614044296,47.348939635989055,-0.8192943295896825
8.64491338167939e-10,3.6509663544921036,1.413866073402411,88.45340224992755,-40.03899936213693
8.643731496473929e-10,6.579313354781524,1.7491788684321836,30.922074470305883,-26.69589204686506
3.846096996241774e-10,8.350296506604112,2.651506542251024,,-40.14976160204119
4.344263114297183e-09,7.868944368419857,4.488353051389836,3.335696325080295,-0.6423829291440576
3.045463557541723e-09,3.40692423371993,3.102832857735593,60.00748108819612,-5.611836606517055
3.569555631200623e-09,5.094194938490518,0.5795065656787164,33.9532996104969,0.06749114102938951
2.00864022049432e-10,,1.1458023176751955,66.89052777838096,64.55864455258784
4.8525582755937725e-09,8.702781392243551,0.7850402110905109,57.15206841000216,0.26353844594661163
4.178968939922066e-09,2.453958258519422,1.3381933325234656,72.50874459176525,-0.23673140515551563
1.1404616423235533e-09,4.410914941428013,2.046488076259276,77.46582412039874,13.652084450080498
9.909423393147931e-10,1.525504450189482,1.2877768970078067,23.986902985419345,11.438764806170235
9.986820982818257e-10,6.781085724228153,2.5775518719391246,50.7186458527605,-40.73439672794091
1.590786990501735e-09,5.45297656690408,4.208826549864206,55.81112708005907,-21.05908650558607
2.6713065149979654e-09,3.647897559873675,4.2149415114091715,43.67243343292129,2.762865088265416
2.2165305913463675e-09,5.35193644249553,2.028346031340432,38.517589804335294,-5.753293689099892
1.5270227869704055e-09,1.6873658752711418,1.9700151170681828,94.64036687958362,-3.8793203532156313
3.0980791841396595e-09,7.756384321463278,3.855891264407593,11.075375154645862,-2.682160162354306
7.83519917195005e-10,2.659591474462041,2.367827658544371,12.4278412074605,0.43690435018255785
1.531508777822569e-09,6.150245698915754,4.865522110224812,61.628869562812895,-31.973800376655475
1.8951730321390893e-09,8.99400037658225,2.5022925270717336,24.341280517367093,-3.4688333821576784
2.334742922663476e-09,0.38585608445821373,1.594313725002526,99.8883174500148,4.855101526525456
3.947362210825767e-09,3.8753394295273913,0.5441911625025869,8.360676246594567,0.11228440897972325
1.0784015325759628e-09,1.3491775968063524,4.793507925190658,74.17295629841784,15.384574507858545
2.619748748226697e-09,9.086577103552372,1.0343472789303958,71.9500441127709,0.07643447138253188
3.002831387424008e-09,3.6007744450042423,1.2882950656514676,73.18519134741915,-2.7975124997206153
3.2760702232798887e-10,2.1334092666445095,0.6725164008151305,67.07250611450569,
3.076969774317048e-09,6.764765756864064,2.592218575730588,7.91568147925984,-1.6253206003357283
9.355682060677285e-10,5.431927874256411,2.3377370801592887,32.58119404302947,4.6158607761811385
4.1875280562786965e-10,8.169366817412314,4.1709487724029,10.538751737583386,65.847260447545
4.749539132541333e-09,7.530681587228455,2.9991125417944207,,-1.4851739244021562
4.831596962065341e-09,9.746698529528341,3.120320750431772,22.474571680644118,-1.105985582100843
4.06114700577066e-09,0.9053230719922034,4.056098589456187,54.99783387432677,-1.9413618708877198
1.5926074689495164e-09,0.8027276835651354,3.1231953598458544,98.95463175197492,19.436889257582862
5.78593358631281e-10,9.073606985127178,3.0442060646923457,8.706277624463599,35.246104495440335
3.4527418299095688e-09,9.557322239329597,4.678365378230627,92.65722913995828,5.47401821417964
2.2567472193240463e-09,4.066343459351318,2.466723194425294,45.69397790900204,-4.2040321994964005
6.979873507394163e-10,4.5586982967306255,3.354962419994992,55.89802498051103,45.814387402309315
2.526366859545224e-09,,2.229497607658592,80.3015210550569,7.806131948050653
,7.776868750799723,3.4280347222526935,76.97922068889063,
,7.707866187768365,0.54525298902027,3.156951682592335,-0.06541269716781313
1.368021909840083e-09,2.2041966150785353,3.7700712580023223,55.614045802285496,29.61300787549197
3.346359193334512e-09,3.8389412986328497,4.017924316791248,96.18166375624881,2.37115572072303
1.6273842728381138e-09,2.1243667703670885,4.448165496125708,48.27450656352232,-0.619111731501212
2.648333303771273e-09,0.4662414500704448,2.7492401537397564,91.52657295976245,9.165010039004187
2.7788803687820705e-09,,1.7878134350143424,21.32217796861414,1.9752704519622812
1.0057868320750825e-09,1.4682312432043687,3.787153915612585,70.1665040083781,-43.65247492116012
4.850964676046337e-09,0.2988203517747212,4.770582204438323,58.661587092743176,3.2187233136295315
3.898150834469461e-09,4.231752062763045,3.964333735510418,13.14212532143605,-1.5253738828549044
4.7035448136645265e-09,0.640195103706308,4.60032191296832,15.049783053247424,0.3196535264510732
4.48465401709548e-09,8.474113916249795,1.037021069408728,70.02118213838045,0.5396993363872418
3.0297098961743172e-09,7.120819773968158,4.659163444180562,11.799753476328622,3.2232737901999435
4.617183751613273e-09,7.836428431832885,3.698498142902353,63.84210499993539,-2.29926459586043
5.336132600544056e-10,6.174801181894689,4.200277081728675,88.7998654489011,239.62521136535807
1.0603160258538116e-09,6.63877331840974,2.3940368334886317,31.03725552175618,-5.2326756448721525
3.2161371566163654e-10,1.1341003377823955,3.064869759235262,23.82714237426886,-100.46987382271797
1.6941186207399954e-09,0.5816764853344836,3.2600054808377283,53.89815135954477,17.465543689254634
2.004518719478462e-09,9.892141121971274,2.8344806025335063,92.77753445859973,4.221060604945158
1.42961025569209e-09,3.729493616441344,0.9345937886500655,7.4007091863870444,-0.784476275046573
4.160813794844454e-09,0.5127001923865226,1.5439422924604749,87.69287084208328,1.750290873137455
,1.5964599206415542,1.1279604222759614,15.261263509511513,2.3047112851447507
1.4765790974681658e-09,8.742059969165046,4.226491620625259,41.94453567709529,-16.841349716356966
2.7592108074754176e-09,,2.176638789165273,82.21567407893679,-6.587656550937615
7.90528702376337e-10,4.6704207127146935,1.79595473242951,56.438124884130545,46.71230452072534
4.030765205694795e-09,6.674741859981291,1.4824799348892423,27.444290134559267,-0.49803737967853834
4.6529815403087704e-10,9.658677704059235,3.659880602152294,12.29252799535059,-82.38725328429678
4.935745989342535e-09,0.1409249882235175,2.8403073621169272,63.1740591810402,0.8804254217674545
3.883999369553622e-09,4.875826299980979,3.1643168932379044,81.65973509225934,1.269585977776574
1.073706839517445e-09,,3.903539310260729,47.98087503489338,46.66396891412249
1.2705837390565178e-10,1.217220231259163,4.864248564630132,69.20239299809346,-1850.712897076943
4.095760999428688e-09,1.2371697025821904,3.8353538710525394,56.189839227148006,-3.5902103483565893
3.563600984853324e-09,0.870423156525294,4.8700401156531905,71.78625391073578,-6.597377679559971
3.672135123400838e-09,5.078440372813484,3.6394256038450195,91.95396721866005,-2.2110607998785876
3.879224698761134e-09,3.484111974672257,3.5474798226945286,37.56738053571289,-0.6525038571214448
4.628187934970428e-10,7.162540563797162,1.1490533247681982,73.1223022338914,102.22039988889777
1.856482069866936e-09,5.712966637556701,0.9183859603443632,95.60991566672351,-5.064886116399414
6.677583916731356e-10,5.808399960914576,0.6076814277743298,22.442926103730077,-3.392024000839461
4.329206786790409e-09,5.110590719917193,3.621739492676041,92.00004058457658,-1.5518243040215098
3.154160821455034e-09,9.920649043789178,3.4207607820710626,41.64987450729534,2.8639714877937563
